,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0
1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0
2,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
3,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
4,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
5,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
6,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
7,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
8,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
10,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
11,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
12,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
13,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
14,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
15,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
16,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
17,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
18,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1
19,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
20,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1
21,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1
22,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
23,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
24,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1
25,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0
26,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
27,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
28,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0
29,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
30,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0
31,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
32,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
33,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
34,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
35,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
36,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
37,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
38,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
39,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
40,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
41,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
42,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
43,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
44,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1
45,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
46,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
47,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1
48,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0
49,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0
50,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1
51,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0
52,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
53,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1
54,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
55,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1
56,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0
57,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1
58,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1
59,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0
60,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
61,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0
62,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
63,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
64,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
65,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
66,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
67,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1
68,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1
69,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0
70,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1
71,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1
72,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0
73,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
74,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0
75,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0
76,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1
77,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1
