,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
4,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1
5,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1
6,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
7,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
8,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0
9,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
10,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0
11,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
12,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
13,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1
14,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
15,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
16,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1
17,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0
18,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1
19,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1
20,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
21,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
22,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0
23,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
24,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1
25,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0
26,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
27,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1
28,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
29,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
30,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1
31,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1
32,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0
33,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0
34,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
35,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0
36,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
37,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0
38,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
39,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
40,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
41,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1
42,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0
43,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1
44,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
45,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1
46,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
47,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1
48,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1
49,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
50,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
51,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
52,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0
53,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0
54,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1
55,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
56,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
57,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
58,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
59,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
60,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
61,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
62,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
63,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
64,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1
65,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
66,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1
67,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0
68,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
69,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0
70,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
71,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1
72,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0
73,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1
74,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1
75,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0
76,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1
